Year,Country,Deaths
2013,Australia,0
2013,Austria,0
2013,Belgium,0
2013,Canada,0
2013,China,0
2013,Denmark,0
2013,France,0
2013,Germany,0
2013,Japan,0
2013,Netherlands,0
2013,Norway,0
2013,Portugal,0
2013,S Korea,0
2013,Slovenia,0
2013,Spain,0
2013,Switzerland,0
2013,Taiwan,0
2013,UK,0
2013,Ukraine,0
2013,USA,3
2014,Australia,0
2014,Austria,0
2014,Belgium,0
2014,Canada,0
2014,China,0
2014,Denmark,0
2014,France,0
2014,Germany,0
2014,Japan,0
2014,Netherlands,0
2014,Norway,0
2014,Portugal,0
2014,S Korea,0
2014,Slovenia,0
2014,Spain,0
2014,Switzerland,0
2014,Taiwan,0
2014,UK,0
2014,Ukraine,0
2014,USA,6
2015,Australia,0
2015,Austria,0
2015,Belgium,0
2015,Canada,1
2015,China,0
2015,Denmark,0
2015,France,0
2015,Germany,0
2015,Japan,0
2015,Netherlands,0
2015,Norway,0
2015,Portugal,0
2015,S Korea,0
2015,Slovenia,0
2015,Spain,0
2015,Switzerland,0
2015,Taiwan,0
2015,UK,0
2015,Ukraine,0
2015,USA,4
2016,Australia,0
2016,Austria,0
2016,Belgium,0
2016,Canada,0
2016,China,1
2016,Denmark,0
2016,France,0
2016,Germany,0
2016,Japan,0
2016,Netherlands,1
2016,Norway,0
2016,Portugal,0
2016,S Korea,0
2016,Slovenia,0
2016,Spain,0
2016,Switzerland,0
2016,Taiwan,0
2016,UK,0
2016,Ukraine,0
2016,USA,14
2017,Australia,1
2017,Austria,0
2017,Belgium,0
2017,Canada,0
2017,China,0
2017,Denmark,0
2017,France,0
2017,Germany,1
2017,Japan,0
2017,Netherlands,0
2017,Norway,1
2017,Portugal,0
2017,S Korea,0
2017,Slovenia,0
2017,Spain,0
2017,Switzerland,1
2017,Taiwan,0
2017,UK,0
2017,Ukraine,0
2017,USA,7
2018,Australia,0
2018,Austria,0
2018,Belgium,0
2018,Canada,1
2018,China,1
2018,Denmark,1
2018,France,0
2018,Germany,0
2018,Japan,3
2018,Netherlands,1
2018,Norway,1
2018,Portugal,0
2018,S Korea,0
2018,Slovenia,0
2018,Spain,0
2018,Switzerland,1
2018,Taiwan,0
2018,UK,0
2018,Ukraine,0
2018,USA,12
2019,Australia,1
2019,Austria,0
2019,Belgium,0
2019,Canada,1
2019,China,0
2019,Denmark,0
2019,France,0
2019,Germany,5
2019,Japan,0
2019,Netherlands,1
2019,Norway,1
2019,Portugal,0
2019,S Korea,0
2019,Slovenia,1
2019,Spain,1
2019,Switzerland,0
2019,Taiwan,1
2019,UK,0
2019,Ukraine,1
2019,USA,37
2020,Australia,0
2020,Austria,0
2020,Belgium,1
2020,Canada,4
2020,China,2
2020,Denmark,0
2020,France,1
2020,Germany,5
2020,Japan,0
2020,Netherlands,3
2020,Norway,1
2020,Portugal,1
2020,S Korea,1
2020,Slovenia,0
2020,Spain,0
2020,Switzerland,0
2020,Taiwan,2
2020,UK,0
2020,Ukraine,0
2020,USA,24
2021,Australia,0
2021,Austria,0
2021,Belgium,1
2021,Canada,0
2021,China,2
2021,Denmark,0
2021,France,2
2021,Germany,0
2021,Japan,0
2021,Netherlands,0
2021,Norway,0
2021,Portugal,0
2021,S Korea,0
2021,Slovenia,0
2021,Spain,0
2021,Switzerland,0
2021,Taiwan,0
2021,UK,2
2021,Ukraine,0
2021,USA,15
