Year,Country,Description,Deaths,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,0,1,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,0,0,1,0,1,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,0,0,1,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,1,0,0,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,0,0,1,0,0,0,0
2021,China,"Collisions with cement barrier, car catches on fire",1,0,1,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,0,1,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,0,0,1,0,1,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,0,0,1,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
2021,USA,"Tesla crashes into tree with ""no driver""",2,1,0,0,0,0,0,0
